product_name,overall_rating,no_ratings,no_reviews,avg_user_rating,rating_discrepancy,rating_discrepancy_pct
MSI Modern 14 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/...,4.3,"1,631",160,4.03,0.2699999999999996,6.28
MSI Modern 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD...,4.3,"1,631",160,4.03,0.2699999999999996,6.28
HP 15s Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Window...,4.2,390,33,3.9393939393939394,0.26060606060606073,6.2
Lenovo V14 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Win...,4.1,227,13,3.8461538461538463,0.2538461538461534,6.19
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U - (16 GB/512...,4.0,366,33,3.757575757575758,0.2424242424242422,6.06
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U - (16 GB/1 T...,4.0,366,33,3.757575757575758,0.2424242424242422,6.06
Lenovo V15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Win...,4.1,428,21,3.857142857142857,0.24285714285714244,5.92
Acer Swift Go 14 TouchScreen AI PC Intel Core Ultra 7 155H - (...,4.1,62,7,3.857142857142857,0.24285714285714244,5.92
Lenovo LOQ Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/W...,4.3,893,105,4.05,0.25,5.81
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 12th Gen...",4.2,"1,103",66,3.9586206896551723,0.24137931034482785,5.75
Infinix X Air Pro+ Intel Core i5 13th Gen 1334U - (16 GB/512 G...,4.5,17,4,4.25,0.25,5.56
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 ...,4.4,566,40,4.165048543689321,0.2349514563106796,5.34
HP Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11...,4.0,68,5,3.8,0.20000000000000018,5.0
Lenovo IdeaPad 1 Intel Celeron Dual Core N4020 - (8 GB/512 GB ...,4.0,262,20,3.8,0.20000000000000018,5.0
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 ...,4.0,330,20,3.8,0.20000000000000018,5.0
Acer TravelMate P2 Intel Core i7 11th Gen 1165G7 - (16 GB/1 TB...,3.8,249,39,3.6153846153846154,0.1846153846153844,4.86
MSI Modern 14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD...,4.3,"1,631",160,4.094827586206897,0.20517241379310303,4.77
